credit_score,annual_income,loan_amount,loan_term_months,num_credit_lines,debt_to_income,employment_years,missed_payments,has_mortgage,education_level,loan_purpose,num_dependents,approved
402,81433.0,47150,60,1,0.297,12.0,6,0,bachelor,home_improvement,1,0
735,116999.0,11841,36,9,0.448,12.0,7,0,bachelor,medical,3,1
570,38572.0,27135,12,9,0.579,16.0,2,1,master,medical,4,0
406,53546.0,13427,48,2,0.345,17.0,4,0,bachelor,business,0,0
371,69165.0,41251,24,16,0.497,18.0,3,1,bachelor,car,4,0
320,,35131,60,4,0.305,29.0,8,1,master,home_improvement,2,0
421,51948.0,37727,36,13,0.072,25.0,8,1,high_school,medical,3,0
766,42007.0,26165,60,17,0.542,22.0,3,0,bachelor,medical,4,1
514,115819.0,2749,36,11,0.209,22.0,1,0,master,home_improvement,3,1
630,106207.0,34308,12,2,0.126,16.0,0,1,bachelor,home_improvement,3,1
758,91772.0,8634,12,4,0.598,24.0,2,1,phd,business,0,1
387,37024.0,11614,24,12,0.241,2.0,1,0,bachelor,business,2,0
672,97912.0,25866,24,2,0.125,12.0,4,1,high_school,car,0,1
399,100481.0,11282,36,1,0.221,12.0,5,1,phd,business,0,0
430,103553.0,21319,36,6,0.333,2.0,8,1,master,business,3,0
608,147828.0,37726,36,16,0.098,1.0,3,1,bachelor,vacation,3,1
643,117488.0,16412,36,2,0.244,14.0,3,1,high_school,home_improvement,0,1
791,111741.0,37627,12,14,0.418,2.0,3,0,bachelor,business,1,1
713,93210.0,9050,24,12,0.554,21.0,0,0,phd,vacation,1,1
685,62367.0,25583,24,19,0.269,15.0,2,1,bachelor,vacation,0,1
491,74884.0,19041,48,3,0.361,28.0,3,1,bachelor,business,3,0
576,117572.0,7185,24,19,0.4,9.0,0,1,high_school,medical,3,1
460,68251.0,21812,24,11,0.089,19.0,4,1,high_school,business,2,1
759,99821.0,26832,60,4,0.238,1.0,9,1,high_school,business,3,1
613,98583.0,18423,60,17,0.426,14.0,8,0,master,home_improvement,4,1
321,25207.0,48156,48,17,0.455,7.0,0,1,high_school,medical,4,0
552,42757.0,42644,36,7,0.246,12.0,6,0,bachelor,car,3,1
774,48822.0,37786,48,5,0.054,0.0,1,1,high_school,business,0,1
358,56340.0,30665,48,19,0.054,25.0,9,1,phd,business,4,0
810,58351.0,10989,12,19,0.346,23.0,8,0,master,home_improvement,3,1
